root,asset,asset_class,feature,horizon_vol_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
6E,Euro FX,FX,low,1,next_1_vol_bar,141,1.2900605268679008,0.25880878423262826,0.0003480253966166025,0.0186554387945296,0.46099290780141844
6E,Euro FX,FX,high,1,next_1_vol_bar,142,5.858243646442317,1.2878626739187455,0.009769275590778115,0.09883964584506673,0.5845070422535211
6E,Euro FX,FX,spread,1,next_1_vol_bar,142,2.808442848023593,0.9183309227934844,0.003965057004318595,0.0629686986074719,0.5704225352112676
6E,Euro FX,FX,low,3,next_3_vol_bars,139,7.896530602284419,0.7197189657960832,0.004189991624810263,0.06473014463764588,0.5107913669064749
6E,Euro FX,FX,high,3,next_3_vol_bars,140,8.299975418365454,0.8937101269138298,0.007114449739058393,0.08434719757679124,0.5357142857142857
6E,Euro FX,FX,spread,3,next_3_vol_bars,140,1.9589425789203982,0.2504665438513989,0.000664250747551276,0.02577306244029192,0.5214285714285715
6E,Euro FX,FX,low,6,next_6_vol_bars,136,9.64238346921066,0.4984520449144239,0.0028636279324524283,0.05351287632385904,0.45588235294117646
6E,Euro FX,FX,high,6,next_6_vol_bars,137,4.033563272267807,0.3050612502642591,0.0008073785320475979,0.02841440712117171,0.5036496350364964
6E,Euro FX,FX,spread,6,next_6_vol_bars,137,-1.19067210450933,-0.09976822780819887,0.00011511438270905838,-0.010729137090616252,0.5474452554744526
6E,Euro FX,FX,low,12,next_12_vol_bars,130,18.32902769160308,0.6012686027228143,0.00432757027090247,0.06578427069522486,0.5
6E,Euro FX,FX,high,12,next_12_vol_bars,131,6.440619963703079,0.31242897343746345,0.0008685705184153791,0.029471520463245325,0.6259541984732825
6E,Euro FX,FX,spread,12,next_12_vol_bars,131,-2.9439491240686815,-0.14558219089718752,0.00029843744652879867,-0.017275342153738455,0.5877862595419847
6J,Japanese Yen,FX,low,0,same_vol_bar,125,10.04528511260228,2.815485052715362,0.06540208990858354,0.2557383231128717,0.616
6J,Japanese Yen,FX,high,0,same_vol_bar,125,13.698999810354664,3.8379233156254786,0.11409636643082699,0.33778153654518644,0.584
6J,Japanese Yen,FX,spread,0,same_vol_bar,126,1.5007048314537925,0.6568077758227674,0.002724602723594538,0.05219772718801598,0.48412698412698413
