,kmeans_3,dbscan,spectral_3
66857,0,0,0
66903,2,0,1
66949,2,0,1
66996,2,-1,1
67042,2,-1,1
67088,0,0,0
67135,0,0,0
67181,0,0,0
67227,2,0,1
67273,0,0,0
67320,0,0,0
67366,2,-1,1
67412,0,0,0
67459,0,0,2
67505,2,0,1
67551,2,0,1
67598,0,0,0
67644,0,0,0
67690,2,0,1
67736,2,-1,1
67783,0,0,2
67829,0,0,0
67875,2,0,1
67922,2,0,1
67968,0,0,0
68014,0,0,0
68061,2,0,1
68107,2,0,1
68153,2,0,0
68199,2,0,0
68246,0,0,0
68292,0,0,0
68338,0,0,0
68385,0,0,0
68431,2,0,0
68477,0,0,2
68524,0,0,0
68570,0,0,2
68616,2,-1,0
68662,0,0,0
68709,2,0,0
68755,2,0,1
68801,0,0,0
68848,0,0,0
68894,0,0,0
68940,2,0,1
68987,2,0,1
69033,0,0,0
69079,0,0,0
69125,0,0,0
69172,2,0,0
69218,0,0,0
69264,2,-1,1
69311,0,0,0
69357,2,-1,1
69403,2,0,0
69450,0,0,2
69496,0,0,2
69542,1,0,0
69588,2,0,1
69635,2,0,1
69681,0,0,0
69727,0,0,2
