root,asset,asset_class,horizon_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,corr_high,corr_low,hit_rate_high,hit_rate_low,n_high,n_low,nw_tstat_high,nw_tstat_low,r2_high,r2_low,abs_corr_high_minus_low,abs_nw_tstat_high_minus_low,abs_beta_bps_per_full_ofi_high_minus_low,abs_hit_rate_high_minus_low
DHB,Duration-Hedged IG Credit Index,Credit,3,next_15m,-0.2784065665551398,-0.3875612299529954,-0.13205798019822027,-0.16029249075557628,0.17117117117117117,0.18857142857142858,111,175,-1.6777952848864182,-2.337486920835579,0.017439310134033548,0.025693682592626388,-0.028234510557356013,-0.6596916359491609,-0.10915466339785562,-0.017400257400257413
DHB,Duration-Hedged IG Credit Index,Credit,6,next_30m,,-0.4679283592359512,,-0.14116359792022581,,0.3170731707317073,48,82,,-1.3368426137205565,,0.019927161377783054,,,,
DHB,Duration-Hedged IG Credit Index,Credit,12,next_60m,,,,,,,8,20,,,,,,,,
DHY,Duration-Hedged HY Credit Index,Credit,0,same_bar,0.7457599781109128,0.5417615371863422,0.2788940263304124,0.1727003936266107,0.4881656804733728,0.4538152610441767,338,747,5.600042303459053,4.427593033487122,0.07778187792278846,0.029825425958786234,0.1061936327038017,1.1724492699719304,0.20399844092457053,0.03435041942919609
DHY,Duration-Hedged HY Credit Index,Credit,1,next_5m,0.01517012410415897,0.03659693888592915,0.005970455319612902,0.0114913190431602,0.31785714285714284,0.35251798561151076,280,556,0.12121460456681989,0.3234345557811118,3.564633672348272e-05,0.00013205041335151435,-0.005520863723547298,-0.20221995121429193,-0.021426814781770182,-0.034660842754367926
DHY,Duration-Hedged HY Credit Index,Credit,3,next_15m,-0.18613417637826724,-0.029632950485196412,-0.04484825752103874,-0.006138415362375212,0.3582089552238806,0.4021164021164021,201,378,-0.7404454475957228,-0.13237446425478308,0.0020113662026732815,3.768014316107848e-05,0.03870984215866353,0.6080709833409398,0.15650122589307083,-0.04390744689252152
DHY,Duration-Hedged HY Credit Index,Credit,6,next_30m,-0.44527091939871777,-0.13168815714084664,-0.08551114918217971,-0.022206904537145203,0.39473684210526316,0.4782608695652174,152,253,-0.9795409704768916,-0.47788047424394126,0.0073121566344570565,0.0004931466091218084,0.06330424464503451,0.5016604962329503,0.31358276225787113,-0.08352402745995424
DHY,Duration-Hedged HY Credit Index,Credit,12,next_60m,-0.39366151232579744,-0.40395006384283877,-0.06020827563340155,-0.04999274801610436,0.40425531914893614,0.4351145038167939,94,131,-0.43646278188373566,-0.6844926213102595,0.0036250364547477654,0.0024992748542016496,0.010215527617297195,-0.2480298394265238,-0.010288551517041333,-0.030859184667857753
ES,E-mini S&P 500,Equity,0,same_bar,34.818992708952756,21.93541531914289,0.4403944326813183,0.2184417049118945,0.693125,0.6063829787234043,1600,1598,9.124875860131183,8.988225988850644,0.1939472563367003,0.047716778444815366,0.2219527277694238,0.13664987128053951,12.883577389809865,0.0867420212765957
ES,E-mini S&P 500,Equity,1,next_5m,-2.46874482150272,-0.49637753832779175,-0.031166314377044917,-0.00494660507964339,0.4803001876172608,0.46149029430181593,1599,1597,-1.6458076742149101,-0.22790633830350518,0.0009713391518487713,2.446890181406758e-05,0.026219709297401528,1.417901335911405,1.9723672831749284,0.01880989331544486
